IP ADDRESS,OPERATING SYSTEM,OS VERSION,BROWSER,BROWSER VERSION,LOAD TIME,DATE
fe80::1,Mac OS X,10.8.0,Safari,6.0,4.107,3-9-2012 9:49:51
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,2.342,3-9-2012 9:50:24
::1,Mac OS X,10.8.1,Safari,6.0,6.876,3-9-2012 9:57:6
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,1.888,3-9-2012 12:44:5
::1,Mac OS X,10.8.1,Safari,6.0,2.02,3-9-2012 12:45:1
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,7.828,3-9-2012 14:10:57
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,8.579,4-9-2012 8:18:13
158.42.94.248,Windows,NT 6.1,Chrome,21.0.1180.89,6.514,4-9-2012 8:25:18
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,1.653,4-9-2012 8:58:49
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,1.447,4-9-2012 9:49:35
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,10.374,4-9-2012 11:15:21
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,1.673,4-9-2012 11:15:48
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,5.553,4-9-2012 13:54:51
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,2.412,5-9-2012 9:9:5
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,6.771,5-9-2012 9:58:2
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,6.181,5-9-2012 13:47:50
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,16.183,6-9-2012 8:27:26
158.42.44.141,Mac OS X,10.8.1,Safari,6.0,47.037,6-9-2012 11:23:29
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,5.356,6-9-2012 14:1:32
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,2.035,7-9-2012 10:34:41
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,2.028,7-9-2012 10:34:56
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,2.384,10-9-2012 9:7:23
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,2.635,10-9-2012 11:4:26
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,1.459,10-9-2012 11:21:40
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,1.451,10-9-2012 11:22:19
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,5.209,10-9-2012 11:32:6
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,2.029,10-9-2012 11:32:13
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,1.921,10-9-2012 11:33:56
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,1.576,10-9-2012 11:34:8
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,1.294,10-9-2012 11:35:52
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,5.033,10-9-2012 12:28:25
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,2.514,10-9-2012 12:44:28
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,10.49,10-9-2012 13:38:54
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,2.591,11-9-2012 11:17:27
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,3.675,11-9-2012 11:18:59
158.42.44.141,Mac OS X,10.8.1,Safari,6.0,10.536,12-9-2012 10:46:55
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,2.031,13-9-2012 9:52:39
158.42.94.48,Mac OS X,10.8.1,Safari,6.0,1.234,13-9-2012 10:14:43
158.42.44.141,Mac OS X,10.8.1,Safari,6.0,14.68,13-9-2012 12:32:51
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,1.185,17-9-2012 12:59:14
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,2.302,17-9-2012 12:59:36
158.42.94.127,Mac OS X,10.8.1,Safari,6.0,1.147,17-9-2012 13:0:55
158.42.44.104,Mac OS X,10.8.2,Safari,6.0.1,37.901,21-9-2012 10:21:41
158.42.44.104,Mac OS X,10.8.2,Safari,6.0.1,3.432,21-9-2012 10:27:43
158.42.94.48,Mac OS X,10.8.2,Safari,6.0.1,2.764,24-9-2012 10:24:40
158.42.94.238,Windows,NT 6.1,Internet Explorer,9.0,4.728,2-10-2012 13:7:50
127.0.0.1,Mac OS X,10.8.2,Safari,6.0.2,1.986,9-11-2012 12:11:35
127.0.0.1,Mac OS X,10.8.2,Safari,6.0.2,1.646,9-11-2012 12:11:54
127.0.0.1,Mac OS X,10.8.2,Safari,6.0.2,1.223,9-11-2012 12:13:52
::1,Mac OS X,10.8.2,Safari,6.0.2,4.253,12-11-2012 8:22:58
158.42.94.248,Windows,NT 6.1,Chrome,23.0.1271.64,1.795,15-11-2012 12:58:18
::1,Mac OS X,10.8.2,Chrome,23.0.1271.64,1.758,16-11-2012 9:48:45
::1,Mac OS X,10.8.2,Safari,6.0.2,6.069,19-11-2012 8:34:59
::1,Mac OS X,10.8.2,Safari,6.0.2,1.198,19-11-2012 10:11:50
::1,Mac OS X,10.8.2,Safari,6.0.2,1.61,19-11-2012 10:16:44
::1,Mac OS X,10.8.2,Safari,6.0.2,1.405,19-11-2012 11:17:16
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,2.107,19-11-2012 11:38:54
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,1.261,19-11-2012 11:43:33
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,1.57,19-11-2012 12:55:8
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,1.317,19-11-2012 12:56:2
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,1.808,19-11-2012 12:56:46
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,1.757,19-11-2012 12:58:5
158.42.94.127,Mac OS X,10.8.2,Chrome,23.0.1271.64,0.641,19-11-2012 12:58:44
158.42.94.127,Mac OS X,10.8.2,Chrome,23.0.1271.64,0.685,19-11-2012 12:59:14
158.42.94.127,Mac OS X,10.8.2,Chrome,23.0.1271.64,0.543,19-11-2012 13:36:42
158.42.94.127,Mac OS X,10.8.2,Chrome,23.0.1271.64,0.685,19-11-2012 13:36:54
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,1.827,20-11-2012 14:37:55
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,1.35,20-11-2012 14:38:33
158.42.94.127,Mac OS X,10.8.2,Safari,6.0.2,1.432,20-11-2012 14:39:11
